      |Date       |Time     |River Discharge [m³/s]|Quality                         |Interpolation           |River Discharge (Stage) [cm]|Tags|Remarks                                                                                                                                                                                                                                                  
------+-----------+---------+----------------------+--------------------------------+------------------------+----------------------------+----+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0| 29.06.2005| 21:07:00|                19,800|                   0 (Excellent)|        no interpolation|                     112,000|    |                                                                                                                                                                                                                                                         
     1| 24.08.2005| 19:00:00|                16,100|                       39 (Good)|        no interpolation|                     104,000|    |                                                                                                                                                                                                                                                         
     2| 17.10.2005| 12:13:00|                21,300|                   0 (Excellent)|        no interpolation|                     116,200|    |                                                                                                                                                                                                                                                         
     3| 25.04.2006| 18:50:00|                15,600|                       39 (Good)|        no interpolation|                     103,200|    |                                                                                                                                                                                                                                                         
     4| 29.06.2007| 15:05:00|                20,600|                   0 (Excellent)|        no interpolation|                     115,200|    |                                                                                                                                                                                                                                                         
     5| 10.08.2007| 21:31:00|                17,600|                   0 (Excellent)|        no interpolation|                     111,900|    |                                                                                                                                                                                                                                                         
     6| 29.08.2007| 14:50:00|                20,400|                   0 (Excellent)|        no interpolation|                     113,900|    |                                                                                                                                                                                                                                                         
     7| 18.06.2008| 15:25:00|                23,600|                   0 (Excellent)|        no interpolation|                     120,000|    |                                                                                                                                                                                                                                                         
     8| 12.07.2008| 14:00:00|                20,900|                   0 (Excellent)|        no interpolation|                     117,600|    |                                                                                                                                                                                                                                                         
     9| 28.08.2008| 15:18:00|                19,200|                   0 (Excellent)|        no interpolation|                     113,000|    |                                                                                                                                                                                                                                                         
    10| 17.09.2008| 14:00:00|                50,600|                   0 (Excellent)|        no interpolation|                     153,500|    |                                                                                                                                                                                                                                                         
    11| 17.09.2008| 16:45:00|                42,400|                   0 (Excellent)|        no interpolation|                     146,000|    |                                                                                                                                                                                                                                                         
    12| 01.07.2009| 14:38:00|                23,100|                   0 (Excellent)|        no interpolation|                     120,200|    |                                                                                                                                                                                                                                                         
    13| 18.08.2009| 21:47:00|                19,900|                   0 (Excellent)|        no interpolation|                     116,000|    |                                                                                                                                                                                                                                                         
    14| 22.10.2009| 15:08:00|                23,900|                   0 (Excellent)|        no interpolation|                     120,800|    |                                                                                                                                                                                                                                                         
    15| 19.05.2010| 11:26:00|                24,600|                   0 (Excellent)|        no interpolation|                     120,000|    |                                                                                                                                                                                                                                                         
    16| 12.08.2010| 00:00:00|                15,700|                   0 (Excellent)|        no interpolation|                     105,100|    |                                                                                                                                                                                                                                                         
    17| 13.10.2010| 15:00:00|                14,300|                   0 (Excellent)|        no interpolation|                     102,600|    |                                                                                                                                                                                                                                                         
    18| 03.05.2011| 00:01:00|                49,000|                       39 (Good)|        no interpolation|                     154,000|    |                                                                                                                                                                                                                                                         
    19| 28.07.2011| 10:37:00|                22,800|                       39 (Good)|        no interpolation|                     118,000|    |                                                                                                                                                                                                                                                         
    20| 27.09.2011| 15:24:00|                15,600|                       39 (Good)|        no interpolation|                     106,400|    |                                                                                                                                                                                                                                                         
    21| 18.07.2012| 14:14:00|                20,300|                       39 (Good)|        no interpolation|                     115,800|    |                                                                                                                                                                                                                                                         
    22| 27.08.2012| 16:38:00|                16,200|                       39 (Good)|        no interpolation|                     107,900|    |                                                                                                                                                                                                                                                         
    23| 24.05.2013| 09:43:00|                23,500|                       39 (Good)|        no interpolation|                     119,100|    |                                                                                                                                                                                                                                                         
    24| 15.08.2013| 14:30:00|                18,700|                       80 (Fair)|        no interpolation|                     112,300|    |                                                                                                                                                                                                                                                         
    25| 19.09.2013| 10:35:00|                17,200|                       39 (Good)|        no interpolation|                     111,500|    |                                                                                                                                                                                                                                                         
    26| 27.06.2014| 10:04:00|                25,300|                       39 (Good)|        no interpolation|                     122,000|    |                                                                                                                                                                                                                                                         
    27| 28.08.2014| 20:28:00|                18,200|                       39 (Good)|        no interpolation|                     112,600|    |                                                                                                                                                                                                                                                         
